funding_year,number_of_funding_rounds,total_funding_usd,avg_funding_usd
1960,4,52736030.0,13184007.5
1984,2,141000.0,70500.0
1987,1,2500000.0,2500000.0
1989,1,15000.0,15000.0
1990,1,1000000.0,1000000.0
1992,1,2000000.0,2000000.0
1993,1,125000.0,125000.0
1994,2,13400000.0,6700000.0
1995,5,17300000.0,3460000.0
1996,4,13542500.0,3385625.0
1997,8,64620000.0,8077500.0
1998,16,153138990.0,9571186.875
1999,60,563938371.0,9398972.85
2000,104,1435688690.0,13804698.942307692
2001,74,841105790.0,11366294.45945946
2002,96,908998723.0,9468736.697916666
2003,133,910282919.0,6844232.47368421
2004,252,2209750863.0,8768852.63095238
2005,1550,15227523410.0,9824208.651612904
2006,2290,20472795474.0,8940085.359825328
2007,2927,29285058516.0,10005144.692859583
2008,3326,38463867954.0,11564602.511725796
2009,3576,36506561542.0,10208770.006152125
2010,5566,48210584017.0,8661621.275062881
2011,8191,66696224605.0,8142622.952630936
2012,8834,63927965790.0,7236582.045506
2013,9792,93749768761.0,9574118.541768791
