company_name,category_code,status,exit_type,exit_date,exit_value
,,,Acquisition,1984-06-27,2600000000000.0
GREE,games_video,ipo,IPO,2008-12-17,108960000000.0
Facebook,social,ipo,IPO,2012-05-18,104000000000.0
Amazon,ecommerce,ipo,IPO,1997-05-01,100000000000.0
,,,Acquisition,2011-03-20,39000000000.0
,,,Acquisition,2005-08-15,35000000000.0
Alltel,public_relations,acquired,Acquisition,2008-06-05,28100000000.0
,,,Acquisition,2007-07-03,26000000000.0
,,,Acquisition,2011-02-16,20000000000.0
,,,Acquisition,2011-09-22,18400000000.0
