fund_name,funded_at,funded_year,raised_amount,raised_currency_code
Deric R. Mccloud,2013-09-09,2013.0,89000000000,USD
Carlyle Partners VI,2013-11-25,2013.0,13000000000,USD
Fund VIII,2013-11-07,2013.0,12000000000,USD
Warburg Pincus Private Equity XI,2013-05-13,2013.0,11200000000,USD
CVC Capital Partners VI fund,2013-07-22,2013.0,10500000000,EUR
Silver Lake Partners IV,2013-04-19,2013.0,10300000000,USD
Accel Fund,2008-12-01,2008.0,10000000000,USD
Venture Fund 2012,2012-04-03,2012.0,10000000000,USD
Silver Lake Partners III,2007-01-01,2007.0,9600000000,USD
mega-buyout fund,2013-08-08,2013.0,8400000000,USD
